ID,Yield
ID_F9XXEXN2ADR2,257.7
ID_SO3VW2X4QO93,257.9
ID_UKUQ7JM8E894,303.0
ID_QUISMWEZR2H4,294.9
ID_25JGI455VKCZ,328.4
ID_KQEAOXF3RPV6,252.4
ID_FSNZCPW9HTD2,502.9
ID_U2TOPOA0T40S,197.7
ID_XVQLSUKOT04J,648.0
ID_EAZAU6IW58PK,351.6
ID_WI17R25TC2VU,182.4
ID_OPR9MJWG40U7,645.6
ID_P9K9GAHC6FX6,315.9
ID_SCAOUCCTJ75Z,201.5
ID_MUP1OS8GZR5E,502.1
ID_WVBSZ9VBC9HE,306.4
ID_9MGH1WIKFBNB,296.8
ID_3M2O3EPOM18C,552.9
ID_K9MOR4N1FWIB,302.4
ID_VJPUPMSQARO5,723.2
ID_7WIMK3DXIU3Q,546.1
ID_6QXVH0EUS60J,540.0
ID_CA9GH6Q53A1Q,252.9
ID_94KO4EQ6TA3S,180.4
ID_2WH3AXUWRS2A,280.1
ID_LBS8TBC6QEF1,228.9
ID_Y3YARETW8RAP,534.2
ID_BY9JJAIKBRGP,270.3
ID_0U5AM482W1DE,338.7
ID_G0I28ORJC3OP,238.3
ID_Q34ED4EMSA3R,308.2
ID_LN3LXEG984XM,289.2
ID_0JTIPPYRJND0,480.4
ID_2MRD9I2X8UXB,269.1
ID_KH1FHLUW2T4X,214.3
ID_RFM5MWSIU1JX,230.2
ID_IAH2UTMDVU8F,172.2
ID_9SNP46T1GSJI,308.2
ID_DSQ9ISYFW4DB,188.7
ID_B8XYLC3NM6XD,374.2
ID_HOG9LK4CTN8K,254.2
ID_L3RTRS1QIY6D,248.8
ID_03QW4RBYQEBK,284.5
ID_ZJSYN3ZHXK5K,469.1
ID_UPRM76SZ7IJJ,297.7
ID_YB866N9RY5TU,323.7
ID_4H0KNHPKF9BK,239.6
ID_TOIT03A3WTTD,248.3
ID_4P7NKCB6LMJ5,301.1
ID_1TIMGZJLRLWF,313.7
ID_25E6065LQDON,354.6
ID_SOB9B3H12POE,469.1
ID_A8RF0GQGJF5H,438.9
ID_GT36LGF8SM8K,329.3
ID_E9OHGDA3U6DG,357.1
ID_HXWHLMRE99CE,483.3
ID_3VL9DLFRG5A3,253.0
ID_OKPI3DR2ZQPJ,195.0
ID_XZO6ECCAOC94,663.5
ID_4X2UWYR6RIE2,281.4
ID_1LVAHN6PZYBS,586.8
ID_HRAJFKTPCNWQ,707.5
ID_TK4H5NRKHOE8,252.6
ID_9U0UBT1J8152,297.9
ID_3EUKVYT37JOP,272.3
ID_1499QWPPW755,329.9
ID_ULWP3J0G860C,263.2
ID_51FSB3P7RO7F,280.8
ID_FHMVP6OM4GDX,534.8
ID_2OICAUFVUF5S,250.2
ID_ZGCFHIHAIC5U,284.1
ID_SR592R346POT,502.8
ID_IW7UUDAW8LI0,337.3
ID_UNWZCF6L3JHJ,322.6
ID_Z4FXX0BNPHCO,326.8
ID_T18YB26T1R72,295.1
ID_LXZWOINVI194,277.9
ID_QNQJS14C9JJR,701.6
ID_NTPIQUV3J2G6,450.5
ID_PVQOEEDTISZ0,395.6
ID_PNB65ASGG3U5,217.0
ID_KWPXATBZDX9T,346.4
ID_0G0F9TOR4IMI,522.0
ID_FVLMABW5Y6X2,500.1
ID_O2PL38IY50T5,347.1
ID_CNG8Z00FPPMP,477.0
ID_641DSHBH8JAF,591.3
ID_Y14QXUKOFJ4H,184.9
ID_DRP3WZV4BNIE,274.3
ID_TMXV7UW39T80,235.3
ID_0L8O49SS6MQM,275.3
ID_UGTG0XQELY2U,324.6
ID_0YZYA9AXL9Z2,244.4
ID_KNOK4V0IWVUO,344.2
ID_YX4DF17Z25RV,249.5
ID_2YAZXP3AEDVO,248.7
ID_YNACZPCVVI09,684.6
ID_75GYXJW1DYGX,246.1
ID_YRCMJRFRTU2K,280.3
ID_1L4WBTHTDQMP,333.1
ID_RO0XF0TFLRG6,295.6
ID_NJ7G0SAVDN1Q,315.6
ID_UFPM6MLG1BJK,223.7
ID_ULY51B6WQ9FV,511.8
ID_CR6L4TL2VEEM,269.5
ID_4YRSPS7X1V7Q,194.5
ID_ILQ5YE78E0SD,195.3
ID_WDNXY8YRA10N,244.5
ID_WYK6LRWQ21ML,304.8
ID_EBA4QUGDXB5I,670.3
ID_2WCWAKQKRA74,496.7
ID_FTSIEXKUER9Y,283.3
ID_64BCOW7PEP3E,209.5
ID_0N5TFB55JBOB,558.7
ID_9AE1OJ45UFJ3,319.9
ID_NJWAR6L7X4Q6,480.4
ID_W8U6J9PKGGGI,357.1
